Transaction Date,Description,Amount,Currency,Category,Subcategory,Tag,Merchant
1/1/25,FSHA,8000,CAD,Investing,,,
1/1/25,Bastion Rent Payment,2785.99,CAD,Home,Rent,,
1/1/25,Save on,152.45,CAD,Groceries,,,Save One
1/1/25,Parking Payment,80.22,CAD,Home,Parking,,
1/1/25,Koodo,60.48,CAD,Cell Phone,Plan,,
1/1/25,Liquid IV,31.91,CAD,Healthcare,,,Amazon
1/1/25,West Coast,8.4,CAD,Take Out,,,
1/3/25,NSLSC Payment,60,CAD,Student Loan,,,
1/4/25,Uber,23.31,CAD,Secondary Transportation,Uber,,
1/4/25,Google One,10.07,CAD,Misc,,,
1/4/25,Fusilli + Tomato Paste,9.91,CAD,Groceries,,,Amazon
1/4/25,OxyClean,9.51,CAD,Household,,,Amazon
1/4/25,Denta Sticks,8.83,CAD,Peach,,,Amazon
1/4/25,ChiaSeeds,6.79,CAD,Groceries,,,Amazon
1/4/25,Hand Soap,6.46,CAD,Household,,,Amazon
1/4/25,Google One,3.13,CAD,Entertainment,Home Media,,
1/6/25,Luminette,301.28,CAD,Misc,,,
1/6/25,Gas,90.39,CAD,Car,Fuel,,
1/6/25,Classpass,82.95,CAD,Fitness,,,
1/6/25,Market,40.37,CAD,Groceries,,,
1/6/25,Drawer Spice Rack,24.63,CAD,Household,,,Amazon
1/6/25,Market Eggs,14,CAD,Groceries,,,
1/6/25,Fuses,11.19,CAD,Household,,,
1/6/25,BCAA,10.94,CAD,Car,Insurance,,
1/7/25,Storage Payment,56.7,CAD,Home,Storage,,
1/8/25,Pet Insurance Payment,86.88,CAD,Peach,Insurance,,
1/8/25,AirCanada,85.05,CAD,Travel,,,
1/8/25,Sushi,53.8,CAD,Take Out,Sushi,,
1/9/25,CRA Traxes,2175.08,CAD,Taxes,,,
1/10/25,AC,877.34,CAD,Travel,,NZ25,
1/10/25,Student Loan Payment,60,CAD,Student Loan,,,
1/10/25,BET 365 BET365.COM,20,CAD,Entertainment,Sports Betting,,
1/10/25,SAFEWAY #4966 VANCOUVER BC,7.23,CAD,Groceries,,,Safeway
1/11/25,Youtube Premium,19.03,CAD,Entertainment,Subscriptions,,
1/12/25,TELUS PRE-AUTH PAYMENT EDMONTON AB,165.43,CAD,Home,Internet,,Telus
1/12/25,RAMEN DANBO KITSILANO VANCOUVER BC,20.21,CAD,Eating Out,,,
1/13/25,SP JACKBOX GAMES HTTPSCHECKOUTIL,51,CAD,Clothes,,,
1/13/25,CASH ADVANCE FEE,5,CAD,Fees,,,
1/13/25,CANCO #126 & PIZZA PIZ MERRITT BC,4.14,CAD,Snacks/Convinience,,,
1/14/25,Monthly Fee,30,CAD,Fees,,,
1/14/25,0860-VAN COASTAL NEWS VANCOUVER BC,20.99,CAD,Snacks/Convinience,,,
1/15/25,CRA Taxes,719.45,CAD,Taxes,,,
1/15/25,ROGERS ARENA VANCOUVER BC,227.5,CAD,Entertainment,Sports Tickets,,
1/15/25,Kilos,44.25,CAD,Paramedical,Massage,,
1/15/25,SAFEWAY #4979 VANCOUVER BC,36.63,CAD,Groceries,,,
1/15/25,LES TROIS MONKEYS MONTREAL QC,23,CAD,Entertainment,,MTL Burst,
1/15/25,LES TROIS MONKEYS MONTREAL QC,22.77,CAD,Entertainment,,MTL Burst,
1/16/25,SONNET INSURANCE COMPANY WATERLOO ON,31.37,CAD,Home,Insurance,,
1/16/25,SQDC77068 MTL CRESCENT MONTREAL QC,6,CAD,Substances,Cannabis,MTL Burst,
1/17/25,Student Loan Payment,60,CAD,Student Loan,,,
1/17/25,MARKETPLACE IGA 024 VANCOUVER BC,11.48,CAD,Groceries,,,
1/18/25,EXPEDIA 73011509058088 EXPEDIA.CA ON,769.9,CAD,Travel,,NZ25,
1/18/25,EXPEDIA 73011552816264 EXPEDIA.CA ON,602.3,CAD,Travel,,NZ25,
1/18/25,EXPEDIA 73011559490283 EXPEDIA.CA ON,521.06,CAD,Travel,,NZ25,
1/18/25,SIMPLY SUSHI BAR VANCOUVER BC,60.85,CAD,Take Out,Sushi,,
1/18/25,EMBODY MASSAGE THERAPY NORTH VANCOUVBC,56,CAD,Paramedical,Massage,,
1/18/25,Amazon: Laura Razors,35.83,CAD,Personal Care,,,Amazon
1/18/25,Amazon: Laura Chocolate,23.52,CAD,Groceries,,,Amazon
1/18/25,Amazon: Breard Brush,16.8,CAD,Personal Care,,,
1/18/25,Apple TV,14.55,CAD,Entertainment,Subscriptions,,Apple
1/19/25,Spotify P33577F72F Stockholm,14.21,CAD,Entertainment,Subscriptions,,
1/22/25,SQ *SYSTEMS VIEW PSYCHOTH8774174551 BC,135,CAD,Paramedical,Counselling,,
1/22/25,SAVE ON FOODS ONLINE LANGLEY BC,89.09,CAD,Groceries,,,Save One
1/23/25,SIMPLY SUSHI BAR VANCOUVER BC,53.65,CAD,Take Out,Sushi,,
1/23/25,KILOS STRENGTH + REHAB NORTH VANCOUVBC,44.25,CAD,Paramedical,Massage,,
1/23/25,COMPLETE PHYSIO NORTH VANCOUVBC,21,CAD,Paramedical,Physio,,
1/23/25,MacroFactor,17.35,CAD,Fitness,Subscriptions,,
1/24/25,KITS.CA VANCOUVER BC,168,CAD,Medical,Eyeglasses,,
1/24/25,SUPER SAVE GAS #130 VANCOUVER BC,90.95,CAD,Car,Fuel,,
1/24/25,TEAM CANNABIS 604-3407355 BC,77.43,CAD,Substances,Cannabis,,
1/24/25,SAFEWAY #4901 VANCOUVER BC,33.91,CAD,Groceries,,,
1/25/25,EXPEDIA 73016537287436 EXPEDIA.CA ON,1049.49,CAD,Travel,,NZ25,
1/25/25,SP LOOPUS US.LOOPEARPLUNY,74.44,CAD,Personal Care,,,
1/25/25,MARUGAME UDON & TEMPURA VANCOUVER BC,29.77,CAD,Eating Out,,,
1/25/25,PLAISIR SUCRE VANCOUVER BC,15.95,CAD,Eating Out,,,
1/25/25,LOBLAWS CITY MARKET - VANCOUVER BC,10.28,CAD,Groceries,,,
1/26/25,SAFEWAY #4979 VANCOUVER BC,63.19,CAD,Groceries,,Safeway,
1/26/25,Amazon: Ear Plugs,41.99,CAD,Personal Care,,,
1/26/25,SHOPPERS DRUG MART #22 VANCOUVER BC,25.02,CAD,Household,Kitchen,,
1/26/25,Stain Cleaner,7.69,CAD,Household,,,
1/26/25,APPLE.COM/BILL TORONTO ON,1.44,CAD,Misc,,,
1/27/25,EXPEDIA 73018034211252 EXPEDIA.CA ON,851.02,CAD,Travel,,NZ25,
1/27/25,CRA Taxes,649.51,CAD,Taxes,,,
1/27/25,NZETA WELLINGTON,197.59,CAD,Travel,,NZ25,
1/27/25,Black Top Cabs,18.65,CAD,Secondary Transportation,Cab,,
1/27/25,Plaisir Sucre,15.02,CAD,Take Out,Coffee,,
1/28/25,KITS.CA VANCOUVER BC,68,CAD,Medical,Eyeglasses,,
1/29/25,WAITOMO ADVENTURES TE KUITI,968.04,CAD,Travel,,NZ25,
1/29/25,MARKETPLACE IGA 024 VANCOUVER BC,4.79,CAD,Groceries,,,IGA
1/30/25,SIMPLY SUSHI BAR VANCOUVER BC,47.9,CAD,Take Out,Sushi,,
1/30/25,EMBODY MASSAGE THERAPY NORTH VANCOUVBC,36,CAD,Paramedical,Massage,,
1/31/25,Student Loan Payment,60,CAD,Student Loan,,,
1/31/25,DOMINOS PIZZA #39028 604-736-0010 BC,44.24,CAD,Take Out,Pizza,,
2/1/25,ANNUAL FEE,378,CAD,Fees,,,
2/1/25,ANNUAL FEE,99,CAD,Fees,,,
2/1/25,MONTHLY PARKING-INDIGO PAVANCOUVER BC,80.22,CAD,Home,Parking,,
2/1/25,LONDON DRUGS 74 VANCOUVER BC,76.65,CAD,Groceries,,,
2/1/25,STRIPPED WAX BAR INC 2 VANCOUVER BC,73.66,CAD,Personal Care,,,
2/1/25,KOODO MOBILE PAC 111-1111111 AB,60.48,CAD,Cell Phone,Plan,,
2/1/25,Amazon: Puzzle Books,19.64,CAD,Entertainment,,,
2/1/25,Amazon Vicks,14.26,CAD,Healthcare,,,Amazon
2/1/25,Amazon: Skipping Rope,13.43,CAD,Fitness,,,Amazon
2/1/25,Amazon Sudoku Book,6.99,CAD,Entertainment,,,Amazon
2/2/25,Porter Airlines 8886198622 ON,816.62,CAD,Travel,Flight,,Porter
2/2/25,Beard Balm,22.33,CAD,Personal Care,,,
2/2/25,Poo Poo Paper,19.04,CAD,Household,,,Amazon
2/3/25,Bastion Develop ,2785.99,CAD,Home,Rent,,
2/3/25,Barbers,34.8,CAD,Personal Care,,,
2/3/25,Vanilla,11.89,CAD,Groceries,,,Amazon
2/3/25,Denta Sticks,10.77,CAD,Peach,,,Amazon
2/3/25,Annies,10.1,CAD,Groceries,,,Amazon
2/3/25,Chia Seeds,6.79,CAD,Groceries,,,Amazon
2/3/25,GREEN'S MARKET VANCOUVER BC,5.99,CAD,Groceries,,,
2/3/25,Pasta,5.08,CAD,Groceries,,,Amazon
2/3/25,Pasta,2.97,CAD,Groceries,,,Amazon
2/4/25,Sunscreen,34.69,CAD,Personal Care,,,
2/4/25,Jojoba Oil,16.79,CAD,Personal Care,,,
2/4/25,Travel Containers,13.43,CAD,Travel,,,
2/4/25,GOOGLE*GOOGLE ONE G.CO/HELPPAY#NS,3.13,CAD,Cell Phone,Storage,,
2/5/25,CLASSPASS* MONTHLY CLASSPASS.COMMT,82.95,CAD,Fitness,,,
2/5/25,DD/DOORDASHSIMPLYSUSHI VANCOUVER BC,73.21,CAD,Take Out,Sushi,,
